Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.01,0.01,0.34633209986025315
75% Corpus,4,0.01,0.31,0.33226209054573747
75% Corpus,4,0.01,0.61,0.34100769321692476
75% Corpus,4,0.01,0.9099999999999999,0.35596680617685544
75% Corpus,4,0.01,symmetric,0.3430415590141122
75% Corpus,4,0.31,0.01,0.2991245011492959
75% Corpus,4,0.31,0.31,0.34656520357547693
75% Corpus,4,0.31,0.61,0.33461549209171093
75% Corpus,4,0.31,0.9099999999999999,0.398832070592562
75% Corpus,4,0.31,symmetric,0.32900571791367983
75% Corpus,4,0.61,0.01,0.3006354494406045
75% Corpus,4,0.61,0.31,0.3328152262598253
75% Corpus,4,0.61,0.61,0.322889867308783
75% Corpus,4,0.61,0.9099999999999999,0.42938786649844407
75% Corpus,4,0.61,symmetric,0.3348296452049637
75% Corpus,4,0.9099999999999999,0.01,0.29201165630113013
75% Corpus,4,0.9099999999999999,0.31,0.35569029663098706
75% Corpus,4,0.9099999999999999,0.61,0.33167940912444516
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.403494158063746
75% Corpus,4,0.9099999999999999,symmetric,0.32469813482046794
75% Corpus,4,symmetric,0.01,0.3192302818294918
75% Corpus,4,symmetric,0.31,0.3229496505462699
75% Corpus,4,symmetric,0.61,0.33938067739115163
75% Corpus,4,symmetric,0.9099999999999999,0.40925732770657236
75% Corpus,4,symmetric,symmetric,0.33107448322666294
75% Corpus,4,asymmetric,0.01,0.3085086361728673
75% Corpus,4,asymmetric,0.31,0.32080566026080537
75% Corpus,4,asymmetric,0.61,0.37236032221067517
75% Corpus,4,asymmetric,0.9099999999999999,0.46345772567005883
75% Corpus,4,asymmetric,symmetric,0.30670497945573166
75% Corpus,5,0.01,0.01,0.34765259249410096
75% Corpus,5,0.01,0.31,0.40876910436848257
75% Corpus,5,0.01,0.61,0.3831040592381073
75% Corpus,5,0.01,0.9099999999999999,0.4165707611992743
75% Corpus,5,0.01,symmetric,0.3382956035605263
75% Corpus,5,0.31,0.01,0.3170261890293188
75% Corpus,5,0.31,0.31,0.39257948800182074
75% Corpus,5,0.31,0.61,0.41707208839643234
75% Corpus,5,0.31,0.9099999999999999,0.4563416031869842
75% Corpus,5,0.31,symmetric,0.3924503360721395
75% Corpus,5,0.61,0.01,0.335552262087189
75% Corpus,5,0.61,0.31,0.353749671364825
75% Corpus,5,0.61,0.61,0.3829744490368522
75% Corpus,5,0.61,0.9099999999999999,0.4402890359077188
75% Corpus,5,0.61,symmetric,0.3531060823008276
75% Corpus,5,0.9099999999999999,0.01,0.3334951701899166
75% Corpus,5,0.9099999999999999,0.31,0.35042135862594437
75% Corpus,5,0.9099999999999999,0.61,0.3657010765486074
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.45186131867942453
75% Corpus,5,0.9099999999999999,symmetric,0.3509615015254386
75% Corpus,5,symmetric,0.01,0.3338249501134104
75% Corpus,5,symmetric,0.31,0.37744275554115614
75% Corpus,5,symmetric,0.61,0.35935292556203446
75% Corpus,5,symmetric,0.9099999999999999,0.40988768227900135
75% Corpus,5,symmetric,symmetric,0.39011656305740555
75% Corpus,5,asymmetric,0.01,0.3181438761229541
75% Corpus,5,asymmetric,0.31,0.32886219826835256
75% Corpus,5,asymmetric,0.61,0.37847488128722234
75% Corpus,5,asymmetric,0.9099999999999999,0.41112849568812226
75% Corpus,5,asymmetric,symmetric,0.2879148680181852
75% Corpus,6,0.01,0.01,0.36898526533088444
75% Corpus,6,0.01,0.31,0.3577543992754304
75% Corpus,6,0.01,0.61,0.37645024086192547
75% Corpus,6,0.01,0.9099999999999999,0.3460142453800456
75% Corpus,6,0.01,symmetric,0.3219160738444428
75% Corpus,6,0.31,0.01,0.33760991313608163
75% Corpus,6,0.31,0.31,0.37432443209360144
75% Corpus,6,0.31,0.61,0.367196438655254
75% Corpus,6,0.31,0.9099999999999999,0.37989280029556727
75% Corpus,6,0.31,symmetric,0.3383704093786795
75% Corpus,6,0.61,0.01,0.3360709218256355
75% Corpus,6,0.61,0.31,0.3321658126606863
75% Corpus,6,0.61,0.61,0.37985525703795914
75% Corpus,6,0.61,0.9099999999999999,0.447887250935384
75% Corpus,6,0.61,symmetric,0.33859395254507785
75% Corpus,6,0.9099999999999999,0.01,0.3501141199648277
75% Corpus,6,0.9099999999999999,0.31,0.3545383611422194
75% Corpus,6,0.9099999999999999,0.61,0.39977002161007835
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.45724989785552067
75% Corpus,6,0.9099999999999999,symmetric,0.3341647110796831
75% Corpus,6,symmetric,0.01,0.3452144560054595
75% Corpus,6,symmetric,0.31,0.36414777409415283
75% Corpus,6,symmetric,0.61,0.3539253085747725
75% Corpus,6,symmetric,0.9099999999999999,0.3664538458396467
75% Corpus,6,symmetric,symmetric,0.35174422611748885
75% Corpus,6,asymmetric,0.01,0.31371759163504304
75% Corpus,6,asymmetric,0.31,0.38274426868170947
75% Corpus,6,asymmetric,0.61,0.40641563187666935
75% Corpus,6,asymmetric,0.9099999999999999,0.3904841347516628
75% Corpus,6,asymmetric,symmetric,0.37388781409223143
75% Corpus,7,0.01,0.01,0.3109749429522656
75% Corpus,7,0.01,0.31,0.37667069347709903
75% Corpus,7,0.01,0.61,0.3992588288540064
75% Corpus,7,0.01,0.9099999999999999,0.43979699661990423
75% Corpus,7,0.01,symmetric,0.35984128890887457
75% Corpus,7,0.31,0.01,0.310710490081508
75% Corpus,7,0.31,0.31,0.37733027557065196
75% Corpus,7,0.31,0.61,0.4056887377689594
75% Corpus,7,0.31,0.9099999999999999,0.44609991074964006
75% Corpus,7,0.31,symmetric,0.3904171988950342
75% Corpus,7,0.61,0.01,0.3566031056452729
75% Corpus,7,0.61,0.31,0.35614611500165544
75% Corpus,7,0.61,0.61,0.38616651822077824
75% Corpus,7,0.61,0.9099999999999999,0.4451580152849775
75% Corpus,7,0.61,symmetric,0.3641040768797605
75% Corpus,7,0.9099999999999999,0.01,0.3776826569136324
75% Corpus,7,0.9099999999999999,0.31,0.3735363429160801
75% Corpus,7,0.9099999999999999,0.61,0.36253377963913325
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.45726794671301363
75% Corpus,7,0.9099999999999999,symmetric,0.3579667391492813
75% Corpus,7,symmetric,0.01,0.3501534835522865
75% Corpus,7,symmetric,0.31,0.36707962949965367
75% Corpus,7,symmetric,0.61,0.39622369428338017
75% Corpus,7,symmetric,0.9099999999999999,0.39794891921321257
75% Corpus,7,symmetric,symmetric,0.36765120798912276
75% Corpus,7,asymmetric,0.01,0.3356835925709553
75% Corpus,7,asymmetric,0.31,0.39526403567533697
75% Corpus,7,asymmetric,0.61,0.42783313369767356
75% Corpus,7,asymmetric,0.9099999999999999,0.4236398401626019
75% Corpus,7,asymmetric,symmetric,0.3815284540591282
75% Corpus,8,0.01,0.01,0.34419018845278215
75% Corpus,8,0.01,0.31,0.3486582020360478
75% Corpus,8,0.01,0.61,0.3816411895403738
75% Corpus,8,0.01,0.9099999999999999,0.46437058574643986
75% Corpus,8,0.01,symmetric,0.36219370740354173
75% Corpus,8,0.31,0.01,0.37661864390473043
75% Corpus,8,0.31,0.31,0.371790010862172
75% Corpus,8,0.31,0.61,0.4303382876194081
75% Corpus,8,0.31,0.9099999999999999,0.4628933581429348
75% Corpus,8,0.31,symmetric,0.35860874281656374
75% Corpus,8,0.61,0.01,0.34496210400936567
75% Corpus,8,0.61,0.31,0.38382909793341474
75% Corpus,8,0.61,0.61,0.40638634446615884
75% Corpus,8,0.61,0.9099999999999999,0.4566301189944215
75% Corpus,8,0.61,symmetric,0.3502943747235713
75% Corpus,8,0.9099999999999999,0.01,0.35270801018697084
75% Corpus,8,0.9099999999999999,0.31,0.39854367060428814
75% Corpus,8,0.9099999999999999,0.61,0.3895035312440219
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.5011362607825689
75% Corpus,8,0.9099999999999999,symmetric,0.35584029850922616
75% Corpus,8,symmetric,0.01,0.35088890998214634
75% Corpus,8,symmetric,0.31,0.3588904953232911
75% Corpus,8,symmetric,0.61,0.42567485794215465
75% Corpus,8,symmetric,0.9099999999999999,0.4235628737817892
75% Corpus,8,symmetric,symmetric,0.3615783940841606
75% Corpus,8,asymmetric,0.01,0.35072712361987457
75% Corpus,8,asymmetric,0.31,0.37303349703402167
75% Corpus,8,asymmetric,0.61,0.39782052817204333
75% Corpus,8,asymmetric,0.9099999999999999,0.47632287066124956
75% Corpus,8,asymmetric,symmetric,0.3652857088045893
75% Corpus,9,0.01,0.01,0.36488382598770036
75% Corpus,9,0.01,0.31,0.384059534303819
75% Corpus,9,0.01,0.61,0.4472337212178389
75% Corpus,9,0.01,0.9099999999999999,0.4483074980465578
75% Corpus,9,0.01,symmetric,0.39328273524172785
75% Corpus,9,0.31,0.01,0.37912733880250943
75% Corpus,9,0.31,0.31,0.4107363342703757
75% Corpus,9,0.31,0.61,0.4690544537261746
75% Corpus,9,0.31,0.9099999999999999,0.47663196328382323
75% Corpus,9,0.31,symmetric,0.4026378083016267
75% Corpus,9,0.61,0.01,0.37170203170494553
75% Corpus,9,0.61,0.31,0.4204068777961298
75% Corpus,9,0.61,0.61,0.43403444771036426
75% Corpus,9,0.61,0.9099999999999999,0.4445384623888347
75% Corpus,9,0.61,symmetric,0.4080939998612631
75% Corpus,9,0.9099999999999999,0.01,0.35812879299736433
75% Corpus,9,0.9099999999999999,0.31,0.3992726087542221
75% Corpus,9,0.9099999999999999,0.61,0.429423773479064
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.46454456804243827
75% Corpus,9,0.9099999999999999,symmetric,0.3712796722336123
75% Corpus,9,symmetric,0.01,0.3880414670933491
75% Corpus,9,symmetric,0.31,0.40401834343489706
75% Corpus,9,symmetric,0.61,0.4205988323461558
75% Corpus,9,symmetric,0.9099999999999999,0.44266917042959936
75% Corpus,9,symmetric,symmetric,0.3926494701123447
75% Corpus,9,asymmetric,0.01,0.4139566863459171
75% Corpus,9,asymmetric,0.31,0.4365512666698255
75% Corpus,9,asymmetric,0.61,0.39327287601713395
75% Corpus,9,asymmetric,0.9099999999999999,0.3814115005152591
75% Corpus,9,asymmetric,symmetric,0.42329204587306657
75% Corpus,10,0.01,0.01,0.34502591495514656
75% Corpus,10,0.01,0.31,0.4385029811933789
75% Corpus,10,0.01,0.61,0.4443899193108426
75% Corpus,10,0.01,0.9099999999999999,0.5252586794836034
75% Corpus,10,0.01,symmetric,0.3909508881399834
75% Corpus,10,0.31,0.01,0.36591490280697025
75% Corpus,10,0.31,0.31,0.41471487292013987
75% Corpus,10,0.31,0.61,0.4690269622621376
75% Corpus,10,0.31,0.9099999999999999,0.4787280575883429
75% Corpus,10,0.31,symmetric,0.38558312276522455
75% Corpus,10,0.61,0.01,0.3698524392710705
75% Corpus,10,0.61,0.31,0.41272121010575685
75% Corpus,10,0.61,0.61,0.4079308234504957
75% Corpus,10,0.61,0.9099999999999999,0.4777417577079244
75% Corpus,10,0.61,symmetric,0.3983477727340724
75% Corpus,10,0.9099999999999999,0.01,0.3529747590890252
75% Corpus,10,0.9099999999999999,0.31,0.39547933003951835
75% Corpus,10,0.9099999999999999,0.61,0.42702704969139227
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.46255993890401575
75% Corpus,10,0.9099999999999999,symmetric,0.3768403960971042
75% Corpus,10,symmetric,0.01,0.3445701455848669
75% Corpus,10,symmetric,0.31,0.426096719732877
75% Corpus,10,symmetric,0.61,0.44893222626228313
75% Corpus,10,symmetric,0.9099999999999999,0.45339862476732345
75% Corpus,10,symmetric,symmetric,0.40704290848665564
75% Corpus,10,asymmetric,0.01,0.3811914109551246
75% Corpus,10,asymmetric,0.31,0.4446283466093669
75% Corpus,10,asymmetric,0.61,0.499003247261162
75% Corpus,10,asymmetric,0.9099999999999999,0.4992550407524128
75% Corpus,10,asymmetric,symmetric,0.4250886256815288
75% Corpus,11,0.01,0.01,0.351690539386258
75% Corpus,11,0.01,0.31,0.4153310328375614
75% Corpus,11,0.01,0.61,0.44030204003269147
75% Corpus,11,0.01,0.9099999999999999,0.49080271073058734
75% Corpus,11,0.01,symmetric,0.424562695741494
75% Corpus,11,0.31,0.01,0.3466640112399999
