Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.01,0.01,0.36394260077285967
75% Corpus,4,0.01,0.31,0.3211241839048794
75% Corpus,4,0.01,0.61,0.3764752490553406
75% Corpus,4,0.01,0.9099999999999999,0.39701753135838724
75% Corpus,4,0.01,symmetric,0.3224618957906675
75% Corpus,4,0.31,0.01,0.359083737129214
75% Corpus,4,0.31,0.31,0.3047611836027494
75% Corpus,4,0.31,0.61,0.3526659831743237
75% Corpus,4,0.31,0.9099999999999999,0.38912521358081636
75% Corpus,4,0.31,symmetric,0.3111682170671502
75% Corpus,4,0.61,0.01,0.3181387667786751
75% Corpus,4,0.61,0.31,0.299410599664918
75% Corpus,4,0.61,0.61,0.35034196702189424
75% Corpus,4,0.61,0.9099999999999999,0.3906574192229444
75% Corpus,4,0.61,symmetric,0.30619035093374797
75% Corpus,4,0.9099999999999999,0.01,0.29443619978269353
75% Corpus,4,0.9099999999999999,0.31,0.3123821859867302
75% Corpus,4,0.9099999999999999,0.61,0.34652884033479486
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.3668587038329109
75% Corpus,4,0.9099999999999999,symmetric,0.2945397210184332
75% Corpus,4,symmetric,0.01,0.3471214187787098
75% Corpus,4,symmetric,0.31,0.3477532742791713
75% Corpus,4,symmetric,0.61,0.3386121859824386
75% Corpus,4,symmetric,0.9099999999999999,0.39741615447165707
75% Corpus,4,symmetric,symmetric,0.32892767135010015
75% Corpus,4,asymmetric,0.01,0.34595766281034807
75% Corpus,4,asymmetric,0.31,0.33672293929227604
75% Corpus,4,asymmetric,0.61,0.38588624989379144
75% Corpus,4,asymmetric,0.9099999999999999,0.45383994084078194
75% Corpus,4,asymmetric,symmetric,0.34011732317924737
75% Corpus,5,0.01,0.01,0.3680933755722354
75% Corpus,5,0.01,0.31,0.3105586503002621
75% Corpus,5,0.01,0.61,0.3353934508151146
75% Corpus,5,0.01,0.9099999999999999,0.40786082820579733
75% Corpus,5,0.01,symmetric,0.3434295401988244
75% Corpus,5,0.31,0.01,0.34630620681108704
75% Corpus,5,0.31,0.31,0.34305325299491474
75% Corpus,5,0.31,0.61,0.34781196912280854
75% Corpus,5,0.31,0.9099999999999999,0.42226275379540734
75% Corpus,5,0.31,symmetric,0.3208578432414389
75% Corpus,5,0.61,0.01,0.3217958598555781
75% Corpus,5,0.61,0.31,0.26482884671536955
75% Corpus,5,0.61,0.61,0.32958195676079904
75% Corpus,5,0.61,0.9099999999999999,0.3878208594931808
75% Corpus,5,0.61,symmetric,0.3280260575853012
75% Corpus,5,0.9099999999999999,0.01,0.29510612448450985
75% Corpus,5,0.9099999999999999,0.31,0.3295897025319016
75% Corpus,5,0.9099999999999999,0.61,0.3435925547347049
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.3908250051902472
75% Corpus,5,0.9099999999999999,symmetric,0.30372072106647463
75% Corpus,5,symmetric,0.01,0.3502684853281193
75% Corpus,5,symmetric,0.31,0.35207832212128015
75% Corpus,5,symmetric,0.61,0.33546153533909945
75% Corpus,5,symmetric,0.9099999999999999,0.3959945881582697
75% Corpus,5,symmetric,symmetric,0.34219650620608205
