Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.01,0.01,0.29682506227062
75% Corpus,4,0.01,0.31,0.32580949541679216
75% Corpus,4,0.01,0.61,0.32339146326004287
75% Corpus,4,0.01,0.9099999999999999,0.31854624065870196
75% Corpus,4,0.01,symmetric,0.3256997151385085
75% Corpus,4,0.31,0.01,0.31248345940317446
75% Corpus,4,0.31,0.31,0.3349548986158229
75% Corpus,4,0.31,0.61,0.32844691591665987
75% Corpus,4,0.31,0.9099999999999999,0.3392625043334816
75% Corpus,4,0.31,symmetric,0.3299740970207101
75% Corpus,4,0.61,0.01,0.303746550927744
75% Corpus,4,0.61,0.31,0.31315651718791004
75% Corpus,4,0.61,0.61,0.3266471054046176
75% Corpus,4,0.61,0.9099999999999999,0.35893908515210265
75% Corpus,4,0.61,symmetric,0.32811185692048916
75% Corpus,4,0.9099999999999999,0.01,0.3371883149517815
75% Corpus,4,0.9099999999999999,0.31,0.2935718550649937
75% Corpus,4,0.9099999999999999,0.61,0.31981752361931887
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.3408366499668607
75% Corpus,4,0.9099999999999999,symmetric,0.3147556916361058
75% Corpus,4,symmetric,0.01,0.30727047860051665
75% Corpus,4,symmetric,0.31,0.32746663512962
75% Corpus,4,symmetric,0.61,0.32916754564937845
75% Corpus,4,symmetric,0.9099999999999999,0.342821938619609
75% Corpus,4,symmetric,symmetric,0.3402284975437715
75% Corpus,4,asymmetric,0.01,0.3263781211662068
75% Corpus,4,asymmetric,0.31,0.34701247875270025
75% Corpus,4,asymmetric,0.61,0.3637140719780716
75% Corpus,4,asymmetric,0.9099999999999999,0.3446432161617577
75% Corpus,4,asymmetric,symmetric,0.32439079921394076
75% Corpus,5,0.01,0.01,0.321131009408633
75% Corpus,5,0.01,0.31,0.3636926758976126
75% Corpus,5,0.01,0.61,0.32380577139469846
75% Corpus,5,0.01,0.9099999999999999,0.35375448568865825
75% Corpus,5,0.01,symmetric,0.34994530361094384
75% Corpus,5,0.31,0.01,0.3078839878319316
75% Corpus,5,0.31,0.31,0.2998929579294061
75% Corpus,5,0.31,0.61,0.38546286308623046
75% Corpus,5,0.31,0.9099999999999999,0.36105266323205
75% Corpus,5,0.31,symmetric,0.3579658910210644
75% Corpus,5,0.61,0.01,0.30897413796399126
75% Corpus,5,0.61,0.31,0.3310845524431961
75% Corpus,5,0.61,0.61,0.3524577136185584
75% Corpus,5,0.61,0.9099999999999999,0.3534368913551579
75% Corpus,5,0.61,symmetric,0.3049609337694489
75% Corpus,5,0.9099999999999999,0.01,0.3494926229402128
75% Corpus,5,0.9099999999999999,0.31,0.2996763672815358
75% Corpus,5,0.9099999999999999,0.61,0.33819703767728193
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.34101039004279005
75% Corpus,5,0.9099999999999999,symmetric,0.32957533099004993
75% Corpus,5,symmetric,0.01,0.31273781111063587
75% Corpus,5,symmetric,0.31,0.34493931292057145
75% Corpus,5,symmetric,0.61,0.3428141652375332
75% Corpus,5,symmetric,0.9099999999999999,0.375056717109763
75% Corpus,5,symmetric,symmetric,0.3484099311015561
75% Corpus,5,asymmetric,0.01,0.35649069603562866
75% Corpus,5,asymmetric,0.31,0.33809322345964704
75% Corpus,5,asymmetric,0.61,0.3365659329369011
75% Corpus,5,asymmetric,0.9099999999999999,0.44840683297622597
75% Corpus,5,asymmetric,symmetric,0.3221447342971333
75% Corpus,6,0.01,0.01,0.37403826687488
75% Corpus,6,0.01,0.31,0.3586012121783892
75% Corpus,6,0.01,0.61,0.352614741046902
75% Corpus,6,0.01,0.9099999999999999,0.3483329894573563
75% Corpus,6,0.01,symmetric,0.3265075895158163
75% Corpus,6,0.31,0.01,0.34452316106488573
75% Corpus,6,0.31,0.31,0.3708967053585403
75% Corpus,6,0.31,0.61,0.3423558120918319
75% Corpus,6,0.31,0.9099999999999999,0.3779774250924491
75% Corpus,6,0.31,symmetric,0.3650050220373875
75% Corpus,6,0.61,0.01,0.33832765434750883
75% Corpus,6,0.61,0.31,0.3389490633782751
75% Corpus,6,0.61,0.61,0.33183600419997555
75% Corpus,6,0.61,0.9099999999999999,0.34338322811610617
